,Data through,TOTAL,Date Retrieved
0,2020-03-07,1,2020-03-07
1,2020-03-09,0,2020-03-09
2,2020-03-10,2,2020-03-10
3,2020-03-12,5,2020-03-12
4,2020-03-13,9,2020-03-13
5,2020-03-14,6,2020-03-14
6,2020-03-15,12,2020-03-15
7,2020-03-16,13,2020-03-16
8,2020-03-18,11,2020-03-18
9,2020-03-19,30,2020-03-19
10,2020-03-20,18,2020-03-20
11,2020-03-21,25,2020-03-21
12,2020-03-22,54,2020-03-22
13,2020-03-23,35,2020-03-23
14,2020-03-24,51,2020-03-24
15,2020-03-25,58,2020-03-25
16,2020-03-26,76,2020-03-26
17,2020-03-27,71,2020-03-27
18,2020-03-28,31,2020-03-28
19,2020-03-29,84,2020-03-29
20,2020-03-30,131,2020-03-30
21,2020-03-31,115,2020-03-31
22,2020-04-01,117,2020-04-01
23,2020-04-02,146,2020-04-02
24,2020-04-03,97,2020-04-03
25,2020-04-05,78,2020-04-05
26,2020-04-06,50,2020-04-06
27,2020-04-08,98,2020-04-08
28,2020-04-09,65,2020-04-09
29,2020-04-10,68,2020-04-10
30,2020-04-11,43,2020-04-11
31,2020-04-13,83,2020-04-13
32,2020-04-14,82,2020-04-14
33,2020-04-15,75,2020-04-15
34,2020-04-17,55,2020-04-17
35,2020-04-19,57,2020-04-19
36,2020-04-20,109,2020-04-20
37,2020-04-22,152,2020-04-22
38,2020-04-23,183,2020-04-23
39,2020-04-25,100,2020-04-25
40,2020-04-27,173,2020-04-27
41,2020-04-28,118,2020-04-28
42,2020-04-29,132,2020-04-29
43,2020-04-30,147,2020-04-30
44,2020-05-02,85,2020-05-02
45,2020-05-03,93,2020-05-03
46,2020-05-04,140,2020-05-04
47,2020-05-05,159,2020-05-05
48,2020-05-06,110,2020-05-06
49,2020-05-07,233,2020-05-07
50,2020-05-08,114,2020-05-08
51,2020-05-09,150,2020-05-09
52,2020-05-10,139,2020-05-10
53,2020-05-11,96,2020-05-11
54,2020-05-13,113,2020-05-13
55,2020-05-16,174,2020-05-16
56,2020-05-18,80,2020-05-18
57,2020-05-20,175,2020-05-20
58,2020-05-21,119,2020-05-21
59,2020-05-22,125,2020-05-22
60,2020-05-23,142,2020-05-23
61,2020-05-26,101,2020-05-26
62,2020-05-29,145,2020-05-29
63,2020-05-31,73,2020-05-31
64,2020-06-01,120,2020-06-01
65,2020-06-02,124,2020-06-02
66,2020-06-04,240,2020-06-04
67,2020-06-05,165,2020-06-05
68,2020-06-07,143,2020-06-07
69,2020-06-09,108,2020-06-09
70,2020-06-10,161,2020-06-10
71,2020-06-12,184,2020-06-12
72,2020-06-13,126,2020-06-13
73,2020-06-14,170,2020-06-14
74,2020-06-17,238,2020-06-17
75,2020-06-18,258,2020-06-18
76,2020-06-19,134,2020-06-19
77,2020-06-20,310,2020-06-20
78,2020-06-21,302,2020-06-21
79,2020-06-22,198,2020-06-22
80,2020-06-23,332,2020-06-23
81,2020-06-24,335,2020-06-24
82,2020-06-25,440,2020-06-25
83,2020-06-26,436,2020-06-26
84,2020-06-27,497,2020-06-27
85,2020-06-28,498,2020-06-28
86,2020-06-29,317,2020-06-29
87,2020-06-30,474,2020-06-30
88,2020-07-01,584,2020-07-01
89,2020-07-02,489,2020-07-02
90,2020-07-03,468,2020-07-03
91,2020-07-04,562,2020-07-04
92,2020-07-05,274,2020-07-05
93,2020-07-06,578,2020-07-06
94,2020-07-07,264,2020-07-07
95,2020-07-08,560,2020-07-08
96,2020-07-09,461,2020-07-09
97,2020-07-10,508,2020-07-10
98,2020-07-11,558,2020-07-11
99,2020-07-12,419,2020-07-12
100,2020-07-13,539,2020-07-13
101,2020-07-14,559,2020-07-14
102,2020-07-15,409,2020-07-15
103,2020-07-16,634,2020-07-16
104,2020-07-17,625,2020-07-17
105,2020-07-18,568,2020-07-18
106,2020-07-19,453,2020-07-19
107,2020-07-20,385,2020-07-20
108,2020-07-21,587,2020-07-21
109,2020-07-22,501,2020-07-22
110,2020-07-23,490,2020-07-23
111,2020-07-24,603,2020-07-24
112,2020-07-25,283,2020-07-25
113,2020-07-26,523,2020-07-26
114,2020-07-28,282,2020-07-28
115,2020-07-29,381,2020-07-29
116,2020-07-30,380,2020-07-30
117,2020-07-31,529,2020-07-31
118,2020-08-01,306,2020-08-01
119,2020-08-02,343,2020-08-02
120,2020-08-03,290,2020-08-03
121,2020-08-04,348,2020-08-04
122,2020-08-05,263,2020-08-05
123,2020-08-06,652,2020-08-06
124,2020-08-07,551,2020-08-07
125,2020-08-08,417,2020-08-08
126,2020-08-09,228,2020-08-09
127,2020-08-10,182,2020-08-10
128,2020-08-11,236,2020-08-11
129,2020-08-12,266,2020-08-12
130,2020-08-13,406,2020-08-13
131,2020-08-14,279,2020-08-14
132,2020-08-15,334,2020-08-15
133,2020-08-17,202,2020-08-17
134,2020-08-18,214,2020-08-18
135,2020-08-19,232,2020-08-19
136,2020-08-20,304,2020-08-20
137,2020-08-21,291,2020-08-21
138,2020-08-22,337,2020-08-22
139,2020-08-23,187,2020-08-23
140,2020-08-24,267,2020-08-24
141,2020-08-26,277,2020-08-26
142,2020-08-27,285,2020-08-27
143,2020-08-29,253,2020-08-29
144,2020-09-01,250,2020-09-01
145,2020-09-02,325,2020-09-02
146,2020-09-04,443,2020-09-04
147,2020-09-05,308,2020-09-05
148,2020-09-06,216,2020-09-06
149,2020-09-07,211,2020-09-07
150,2020-09-08,247,2020-09-08
151,2020-09-09,284,2020-09-09
152,2020-09-10,361,2020-09-10
153,2020-09-11,445,2020-09-11
154,2020-09-12,265,2020-09-12
155,2020-09-13,208,2020-09-13
156,2020-09-14,294,2020-09-14
157,2020-09-17,388,2020-09-17
158,2020-09-18,286,2020-09-18
159,2020-09-21,222,2020-09-21
160,2020-09-22,278,2020-09-22
161,2020-09-23,171,2020-09-23
162,2020-09-24,405,2020-09-24
163,2020-09-25,330,2020-09-25
164,2020-09-28,251,2020-09-28
165,2020-09-29,195,2020-09-29
166,2020-09-30,305,2020-09-30
167,2020-10-04,224,2020-10-04
168,2020-10-06,354,2020-10-06
169,2020-10-08,357,2020-10-08
170,2020-10-09,320,2020-10-09
171,2020-10-10,408,2020-10-10
172,2020-10-13,303,2020-10-13
173,2020-10-15,311,2020-10-15
174,2020-10-16,201,2020-10-16
175,2020-10-17,373,2020-10-17
176,2020-10-21,235,2020-10-21
177,2020-10-22,430,2020-10-22
178,2020-10-23,386,2020-10-23
179,2020-10-24,269,2020-10-24
180,2020-10-25,358,2020-10-25
181,2020-10-29,471,2020-10-29
182,2020-10-31,352,2020-10-31
183,2020-11-01,307,2020-11-01
184,2020-11-02,293,2020-11-02
185,2020-11-03,404,2020-11-03
186,2020-11-04,530,2020-11-04
187,2020-11-05,480,2020-11-05
188,2020-11-06,540,2020-11-06
189,2020-11-07,513,2020-11-07
190,2020-11-08,401,2020-11-08
191,2020-11-09,483,2020-11-09
192,2020-11-10,661,2020-11-10
193,2020-11-11,620,2020-11-11
194,2020-11-12,611,2020-11-12
195,2020-11-13,736,2020-11-13
196,2020-11-14,1087,2020-11-14
197,2020-11-15,833,2020-11-15
198,2020-11-16,718,2020-11-16
199,2020-11-17,922,2020-11-17
200,2020-11-18,899,2020-11-18
